Interval Duration,Data Packets,Min Data Gap
-0.2380019674531837,-0.23800178218407234,-0.17971047627259043
-0.23810651911650083,-0.23800178218407234,-0.24940833296426546
3.4553397903112777,3.453366103240104,4.374623656697243
-0.2381098438046347,-0.23800178218407234,-0.2423976927483856
-0.23800036378008382,-0.23800178218407234,-0.1873747892358719
-0.2380977575854185,-0.23800178218407234,-0.20370026610222208
-0.2380867274436095,-0.23800178218407234,-0.21719860833606106
-0.23801686987881923,-0.23800178218407234,-0.1889762874670056
-0.23802895609803548,-0.23800178218407234,-0.19280027303930358
-0.23805301119453381,-0.23800178218407234,-0.2080798735098118
-0.23807045602874236,-0.23800178218407234,-0.23894956900584335
-0.23809904834669401,-0.23800178218407234,-0.2234575248924299
-0.23807953047164904,-0.23800178218407234,-0.24032228177538587
-0.2380835200974097,-0.23800178218407234,-0.20902769899354343
-0.23804718321180493,-0.23800178218407234,-0.1760499088871425
-0.23801252822725613,-0.23800178218407234,-0.18489083279574678
-0.23809994796818906,-0.23800178218407234,-0.23347505974635652
-0.2380639631083867,-0.23800178218407234,-0.21558076828624276
-0.23813014395924062,-0.23800178218407234,-0.24195646364388967
-0.23805285473862164,-0.23800178218407234,-0.2254185431346338
-0.23802101596049213,-0.23800178218407234,-0.18941751657150152
-0.23805653145255795,-0.23800178218407234,-0.20015409144756952
3.4553252007974664,3.453366103240104,4.3966197446473
-0.2379910155393308,-0.23800178218407234,-0.1718173778477187
-0.23805449752569957,-0.23800178218407234,-0.22505902312356313
-0.23806525386966224,-0.23800178218407234,-0.23847565626397732
-0.23811121279386635,-0.23800178218407234,-0.2580858386860192
-0.23808132971463916,-0.23800178218407234,-0.23399799794427725
-0.23799789959946693,-0.23800178218407234,-0.1886984765493597
-0.23801792595622648,-0.23800178218407234,-0.42915199668096793
-0.2380683047599498,-0.23800178218407234,-0.2159566301159985
-0.23864163745014894,-0.23800178218407234,-0.436244345990273
-0.23808743149521433,-0.23800178218407234,-0.21558076828624276
-0.23812869674205292,-0.23800178218407234,-0.23349140156504158
-0.23812142154213636,-0.23800178218407234,-0.2332135906473957
-0.23810143429935482,-0.23800178218407234,-0.22496097221145284
-0.23812498091413853,-0.23800178218407234,-0.22332679034294947
-0.23809814872519894,-0.23800178218407234,-0.21732934288554145
-0.238025983435704,-0.23800178218407234,-0.20087313146971086
-0.2380050183434713,-0.23800178218407234,-0.18444960369125085
-0.238017495702468,-0.23800178218407234,-0.19281661485798862
-0.23810202100902553,-0.23800178218407234,-0.24965346024454124
-0.23807808325446134,-0.23800178218407234,-0.2316284342349475
-0.23813644130970604,-0.23800178218407234,-0.23801808534079633
-0.23799520073498176,-0.23800178218407234,-0.17366400335912724
-0.23810178632515724,-0.23800178218407234,-0.2090440408122285
-0.2380203901368434,-0.23800178218407234,-0.18444960369125085
-0.23810745785197393,-0.23800178218407234,-0.24913052204662003
-0.23807878730606616,-0.23800178218407234,-0.22420924855194135
-0.23810112138753045,-0.23800178218407234,-0.23318090701002558
-0.23809728821768195,-0.23800178218407234,-0.22505902312356313
-0.23802985571953053,-0.23800178218407234,-0.18422081822966013
-0.23809697530585758,-0.23800178218407234,-0.23277236154289976
-0.2381480190472077,-0.23800178218407234,-0.26579917710535583
-0.23806016905251623,-0.23800178218407234,-0.2154336919180773
-0.23810585417887403,-0.23800178218407234,-0.23582828163700123
-0.23811191684547117,-0.23800178218407234,-0.2401915472259059
3.455236764093104,3.453366103240104,4.358837459847499
-0.2380526591687314,-0.23800178218407234,-0.19314345123168966
-0.23802152444220676,-0.23800178218407234,-0.18340372729540844
-0.23813468118069397,-0.23800178218407234,-0.24904881295319478
-0.23813960954192775,-0.23800178218407234,-0.2580368132299641
-0.2381052283552253,-0.23800178218407234,-0.22358825944190985
-0.2380419810527248,-0.23800178218407234,-0.2079491389603314
-0.2380155400035657,-0.23800178218407234,-0.17631137798610333
-0.23810252949074012,-0.23800178218407234,-0.20097118238182118
-0.23803294572379619,-0.23800178218407234,-0.22381704490350057
-0.2380364268678423,-0.23800178218407234,-0.20814524078455157
-0.23810049556388171,-0.23800178218407234,-0.257873395043114
-0.23802629634752834,-0.23800178218407234,-0.19278393122061852
-0.23810264683267424,-0.23800178218407234,-0.21538466646202215
-0.23811328583470276,-0.23800178218407234,-0.21662664468208515
